	source	source_freq	first_sample	fscolor	spect_cluster	commun_cluster	spect_color	comm_color
580	Oscillibacter	1	Stool	#b2f396	7.0	0.0	#ffa558	#8000ff
581	Leptotrichia	2	Supragingival_plaque	#ff964f	5.0	0.0	#9bfba5	#8000ff
582	Oscillibacter	1	Stool	#b2f396	7.0	0.0	#ffa558	#8000ff
583	Megasphaera	1	Saliva	#7effb5	7.0	0.0	#ffa558	#8000ff
584	Oscillibacter	1	Stool	#b2f396	7.0	0.0	#ffa558	#8000ff
585	Neisseria	2	Throat	#ff5029	7.0	0.0	#ffa558	#8000ff
586	Oscillibacter	1	Stool	#b2f396	7.0	0.0	#ffa558	#8000ff
587	Olsenella	1	Subgingival_plaque	#e4cf74	7.0	0.0	#ffa558	#8000ff
588	Ottowia	2	Subgingival_plaque	#e4cf74	0.0	1.0	#8000ff	#ff0000
589	Afipia	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
590	Ottowia	2	Subgingival_plaque	#e4cf74	0.0	1.0	#8000ff	#ff0000
591	Bulleidia	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
592	Ottowia	2	Subgingival_plaque	#e4cf74	0.0	1.0	#8000ff	#ff0000
593	Eggerthia	1	Subgingival_plaque	#e4cf74	4.0	1.0	#62fbc4	#ff0000
594	Ottowia	2	Subgingival_plaque	#e4cf74	0.0	1.0	#8000ff	#ff0000
595	Filifactor	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
596	Ottowia	2	Subgingival_plaque	#e4cf74	0.0	1.0	#8000ff	#ff0000
597	Granulicatella	1	Attached	#4e4dfc	4.0	1.0	#62fbc4	#ff0000
598	Ottowia	2	Subgingival_plaque	#e4cf74	0.0	1.0	#8000ff	#ff0000
599	Johnsonella	1	Subgingival_plaque	#e4cf74	4.0	1.0	#62fbc4	#ff0000
600	Ottowia	2	Subgingival_plaque	#e4cf74	0.0	1.0	#8000ff	#ff0000
601	Lactobacillus	1	Mid_vagina	#18cde4	4.0	1.0	#62fbc4	#ff0000
602	Ottowia	2	Subgingival_plaque	#e4cf74	0.0	1.0	#8000ff	#ff0000
603	Mogibacterium	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
604	Parabacteroides	1	Stool	#b2f396	7.0	0.0	#ffa558	#8000ff
605	Abiotrophia	2	Buccal_mucosa	#1996f3	9.0	0.0	#ff0000	#8000ff
606	Parabacteroides	1	Stool	#b2f396	7.0	0.0	#ffa558	#8000ff
607	Actinomyces	2	Supragingival_plaque	#ff964f	8.0	0.0	#ff592d	#8000ff
608	Parabacteroides	1	Stool	#b2f396	7.0	0.0	#ffa558	#8000ff
