	source	source_freq	source_type	target_type	fscolor	spect_cluster	commun_cluster	spect_color	comm_color
1246	Thauera	1	Supragingival_plaque	Supragingival_plaque	#ff964f	7.0	4.0	#ff0000	#a2f9a0
1252	Treponema	1	Subgingival_plaque	Buccal_mucosa	#e4cf74	5.0	0.0	#ecc86f	#8000ff
1282	Trueperella	30	Saliva	Buccal_mucosa	#7effb5	5.0	0.0	#ecc86f	#8000ff
1291	Carnobacterium	20	Saliva	Saliva	#7effb5	5.0	0.0	#ecc86f	#8000ff
1318	Tyzzerella	1	Stool	Stool	#b2f396	6.0	1.0	#ff703a	#386df9
1342	Ureaplasma	15	Mid_vagina	Anterior_nares	#18cde4	1.0	6.0	#386df9	#ff703a
1344	Varibaculum	5	Posterior_fornix	Posterior_fornix	#4df3ce	0.0	6.0	#8000ff	#ff703a
1352	Veillonella	5	Attached	Attached	#4e4dfc	5.0	0.0	#ecc86f	#8000ff
1380	Xanthomonas	5	Anterior_nares	Anterior_nares	#8000ff	1.0	6.0	#386df9	#ff703a
1386	Xenorhabdus	2	Saliva	Throat	#7effb5	5.0	7.0	#ecc86f	#ff0000
1392	Xylanimonas	1	Tongue_dorsum	Buccal_mucosa	#ff0000	5.0	0.0	#ecc86f	#8000ff
