	Gender	Name
SRR062339	Male	unk
SRR062343	Male	unk
SRR062421	Male	unk
SRR062424	Male	unk
SRR062477	Male	unk
SRR062478	Male	unk
SRR062501	Male	unk
SRR062511	Male	unk
SRR346694	Male	unk
SRR059326	Female	unk
SRR059327	Female	unk
SRR059428	Female	unk
SRR059429	Female	unk
SRR059479	Female	unk
SRR059514	Female	unk
SRR059515	Female	unk
SRR059814	Female	unk
SRR059815	Female	unk
SRR059841	Female	unk
SRR059844	Female	unk
SRR059845	Female	unk
SRR059846	Female	unk
SRR059847	Female	unk
SRR059918	Female	unk
SRR059919	Female	unk
SRR059956	Female	unk
SRR059957	Female	unk
SRR059994	Female	unk
SRR059995	Female	unk
SRR060004	Female	unk
SRR060033	Female	unk
SRR060042	Female	unk
SRR060142	Female	unk
SRR060404	Female	unk
SRR060405	Female	unk
SRR060406	Female	unk
SRR060407	Female	unk
SRR060420	Female	unk
SRR060421	Female	unk
SRR060456	Female	unk
SRR061159	Female	unk
SRR061160	Female	unk
SRR061192	Female	unk
SRR061216	Female	unk
SRR061232	Female	unk
SRR061251	Female	unk
SRR061253	Female	unk
SRR061282	Female	unk
SRR061286	Female	unk
SRR061316	Female	unk
SRR061320	Female	unk
SRR061346	Female	unk
SRR061355	Female	unk
SRR061362	Female	unk
SRR061365	Female	unk
SRR061366	Female	unk
SRR061367	Female	unk
SRR061380	Female	unk
SRR061403	Female	unk
SRR061436	Female	unk
SRR061452	Female	unk
SRR061520	Female	unk
SRR061524	Female	unk
SRR061562	Female	unk
SRR061566	Female	unk
SRR061571	Female	unk
SRR061579	Female	unk
SRR061580	Female	unk
SRR061582	Female	unk
SRR061597	Female	unk
SRR061599	Female	unk
SRR061915	Female	unk
SRR061916	Female	unk
SRR062051	Female	unk
SRR062052	Female	unk
SRR062082	Female	unk
SRR062083	Female	unk
