	source	source_freq	first_sample	fscolor	spect_cluster	commun_cluster	spect_color	comm_color
485	Neisseria sicca	3	Buccal_mucosa	#1996f3	4.0	0.0	#10c6e6	#8000ff
486	Streptococcus sp. SK643	2	Attached	#4e4dfc	4.0	0.0	#10c6e6	#8000ff
487	Neisseria sp. oral taxon 014	3	Supragingival_plaque	#ff964f	4.0	0.0	#10c6e6	#8000ff
488	Streptococcus sp. SK643	2	Attached	#4e4dfc	4.0	0.0	#10c6e6	#8000ff
489	Neisseria subflava	3	Throat	#ff5029	4.0	0.0	#10c6e6	#8000ff
490	Streptococcus sp. SK643	2	Attached	#4e4dfc	4.0	0.0	#10c6e6	#8000ff
491	Pasteurella multocida	3	Attached	#4e4dfc	4.0	0.0	#10c6e6	#8000ff
492	Streptococcus sp. SK643	2	Attached	#4e4dfc	4.0	0.0	#10c6e6	#8000ff
493	Prevotella saccharolytica	3	Subgingival_plaque	#e4cf74	4.0	0.0	#10c6e6	#8000ff
494	Streptococcus sp. SK643	2	Attached	#4e4dfc	4.0	0.0	#10c6e6	#8000ff
495	Streptococcus anginosus	3	Mixed	#cccccc	4.0	0.0	#10c6e6	#8000ff
496	Streptococcus sp. SK643	2	Attached	#4e4dfc	4.0	0.0	#10c6e6	#8000ff
497	Streptococcus australis	4	Tongue_dorsum	#ff0000	4.0	0.0	#10c6e6	#8000ff
498	Tannerella forsythia	3	Subgingival_plaque	#e4cf74	13.0	8.0	#ff3b1e	#f2c26b
499	Lachnospiraceae bacterium oral taxon 082	5	Tongue_dorsum	#ff0000	2.0	8.0	#386df9	#f2c26b
500	Tannerella forsythia	3	Subgingival_plaque	#e4cf74	13.0	8.0	#ff3b1e	#f2c26b
501	Neisseria flavescens	4	Attached	#4e4dfc	13.0	4.0	#ff3b1e	#38e7d7
502	Tannerella forsythia	3	Subgingival_plaque	#e4cf74	13.0	8.0	#ff3b1e	#f2c26b
503	Prevotella salivae	5	Saliva	#7effb5	2.0	8.0	#386df9	#f2c26b
504	Tannerella forsythia	3	Subgingival_plaque	#e4cf74	13.0	8.0	#ff3b1e	#f2c26b
505	Prevotella sp. C561	5	Tongue_dorsum	#ff0000	11.0	7.0	#ffa055	#c4e88a
