	source	target	weight	edge_sample	edcolor
4214	Streptococcus sp. 400_SSPC	Streptococcus infantis	5.0	Intertype	#cccccc
4215	Streptococcus infantis	Streptococcus sp. 400_SSPC	5.0	Intertype	#cccccc
4216	Streptococcus sp. 400_SSPC	Streptococcus oligofermentans	5.0	Intertype	#cccccc
4217	Streptococcus oligofermentans	Streptococcus sp. 400_SSPC	5.0	Intertype	#cccccc
4218	Streptococcus sp. 400_SSPC	Streptococcus salivarius	4.0	Intertype	#cccccc
4219	Streptococcus salivarius	Streptococcus sp. 400_SSPC	4.0	Intertype	#cccccc
4220	Streptococcus sp. 400_SSPC	Streptococcus sp. 1171_SSPC	5.0	Intertype	#cccccc
4221	Streptococcus sp. 1171_SSPC	Streptococcus sp. 400_SSPC	5.0	Intertype	#cccccc
4222	Streptococcus sp. ACS2	Mannheimia haemolytica	3.0	Intertype	#cccccc
4223	Mannheimia haemolytica	Streptococcus sp. ACS2	3.0	Intertype	#cccccc
4224	Streptococcus sp. AS20	Bacteroides coprocola	1.0	Intertype	#cccccc
4225	Bacteroides coprocola	Streptococcus sp. AS20	1.0	Intertype	#cccccc
4226	Streptococcus sp. AS20	Streptococcus pyogenes	1.0	Buccal_mucosa	#1996f3
4227	Streptococcus pyogenes	Streptococcus sp. AS20	1.0	Buccal_mucosa	#1996f3
4228	Streptococcus sp. C150	[Eubacterium] eligens	1.0	Intertype	#cccccc
4229	[Eubacterium] eligens	Streptococcus sp. C150	1.0	Intertype	#cccccc
4230	Streptococcus sp. C150	Akkermansia muciniphila	1.0	Intertype	#cccccc
4231	Akkermansia muciniphila	Streptococcus sp. C150	1.0	Intertype	#cccccc
4232	Streptococcus sp. C150	Alistipes obesi	1.0	Intertype	#cccccc
4233	Alistipes obesi	Streptococcus sp. C150	1.0	Intertype	#cccccc
4234	Streptococcus sp. C150	Alistipes onderdonkii	1.0	Intertype	#cccccc
4235	Alistipes onderdonkii	Streptococcus sp. C150	1.0	Intertype	#cccccc
4236	Streptococcus sp. C150	Alistipes senegalensis	1.0	Intertype	#cccccc
4237	Alistipes senegalensis	Streptococcus sp. C150	1.0	Intertype	#cccccc
4238	Streptococcus sp. C150	Alistipes shahii	1.0	Intertype	#cccccc
4239	Alistipes shahii	Streptococcus sp. C150	1.0	Intertype	#cccccc
4240	Streptococcus sp. C150	Bacteroides caccae	1.0	Intertype	#cccccc
4241	Bacteroides caccae	Streptococcus sp. C150	1.0	Intertype	#cccccc
4242	Streptococcus sp. C150	Bacteroides cellulosilyticus	1.0	Intertype	#cccccc
4243	Bacteroides cellulosilyticus	Streptococcus sp. C150	1.0	Intertype	#cccccc
4244	Streptococcus sp. C150	Bacteroides dorei	1.0	Intertype	#cccccc
4245	Bacteroides dorei	Streptococcus sp. C150	1.0	Intertype	#cccccc
4246	Streptococcus sp. C150	Bacteroides fragilis	1.0	Intertype	#cccccc
4247	Bacteroides fragilis	Streptococcus sp. C150	1.0	Intertype	#cccccc
4248	Streptococcus sp. C150	Bacteroides sp. 4_3_47FAA	1.0	Intertype	#cccccc
4249	Bacteroides sp. 4_3_47FAA	Streptococcus sp. C150	1.0	Intertype	#cccccc
4250	Streptococcus sp. C150	Bacteroides thetaiotaomicron	1.0	Intertype	#cccccc
4251	Bacteroides thetaiotaomicron	Streptococcus sp. C150	1.0	Intertype	#cccccc
4252	Streptococcus sp. C150	Butyrivibrio crossotus	1.0	Intertype	#cccccc
4253	Butyrivibrio crossotus	Streptococcus sp. C150	1.0	Intertype	#cccccc
4254	Streptococcus sp. C150	Campylobacter sp. 10_1_50	1.0	Intertype	#cccccc
4255	Campylobacter sp. 10_1_50	Streptococcus sp. C150	1.0	Intertype	#cccccc
4256	Streptococcus sp. C150	Candidatus Alistipes marseilloanorexicus	1.0	Intertype	#cccccc
4257	Candidatus Alistipes marseilloanorexicus	Streptococcus sp. C150	1.0	Intertype	#cccccc
4258	Streptococcus sp. C150	Clostridium sp. L2-50	1.0	Intertype	#cccccc
4259	Clostridium sp. L2-50	Streptococcus sp. C150	1.0	Intertype	#cccccc
4260	Streptococcus sp. C150	Clostridium sp. M62/1	1.0	Intertype	#cccccc
4261	Clostridium sp. M62/1	Streptococcus sp. C150	1.0	Intertype	#cccccc
4262	Streptococcus sp. C150	Coprococcus comes	1.0	Intertype	#cccccc
4263	Coprococcus comes	Streptococcus sp. C150	1.0	Intertype	#cccccc
4264	Streptococcus sp. C150	Cryptobacterium curtum	1.0	Intertype	#cccccc
4265	Cryptobacterium curtum	Streptococcus sp. C150	1.0	Intertype	#cccccc
4266	Streptococcus sp. C150	Intestinimonas butyriciproducens	1.0	Intertype	#cccccc
4267	Intestinimonas butyriciproducens	Streptococcus sp. C150	1.0	Intertype	#cccccc
4268	Streptococcus sp. C150	Mycoplasma salivarium	1.0	Intertype	#cccccc
4269	Mycoplasma salivarium	Streptococcus sp. C150	1.0	Intertype	#cccccc
4270	Streptococcus sp. C150	Odoribacter laneus	1.0	Buccal_mucosa	#1996f3
4271	Odoribacter laneus	Streptococcus sp. C150	1.0	Buccal_mucosa	#1996f3
4272	Streptococcus sp. C150	Oscillibacter sp. ER4	1.0	Intertype	#cccccc
4273	Oscillibacter sp. ER4	Streptococcus sp. C150	1.0	Intertype	#cccccc
4274	Streptococcus sp. C150	Oxalobacter formigenes	1.0	Intertype	#cccccc
4275	Oxalobacter formigenes	Streptococcus sp. C150	1.0	Intertype	#cccccc
