	source	target	weight	edge_sample	edcolor
25	Actinomyces slackii	Bulleidia extructa	1.0	Intertype	#cccccc
26	Bulleidia extructa	Actinomyces sp. ICM47	1.0	Intertype	#cccccc
27	Actinomyces sp. ICM47	Bulleidia extructa	1.0	Intertype	#cccccc
28	Campylobacter concisus	Actinomyces sp. oral taxon 877	3.0	Intertype	#cccccc
29	Actinomyces sp. oral taxon 877	Campylobacter concisus	3.0	Intertype	#cccccc
30	Campylobacter curvus	Actinomyces georgiae	3.0	Intertype	#cccccc
31	Actinomyces georgiae	Campylobacter curvus	3.0	Intertype	#cccccc
32	Campylobacter curvus	Alloprevotella tannerae	3.0	Intertype	#cccccc
33	Alloprevotella tannerae	Campylobacter curvus	3.0	Intertype	#cccccc
34	Campylobacter gracilis	Actinomyces massiliensis	6.0	Intertype	#cccccc
35	Actinomyces massiliensis	Campylobacter gracilis	6.0	Intertype	#cccccc
36	Campylobacter gracilis	Actinomyces sp. oral taxon 849	5.0	Intertype	#cccccc
37	Actinomyces sp. oral taxon 849	Campylobacter gracilis	5.0	Intertype	#cccccc
38	Campylobacter rectus	Abiotrophia defectiva	5.0	Intertype	#cccccc
39	Abiotrophia defectiva	Campylobacter rectus	5.0	Intertype	#cccccc
40	Campylobacter showae	Atopobium parvulum	3.0	Intertype	#cccccc
41	Atopobium parvulum	Campylobacter showae	3.0	Intertype	#cccccc
42	Campylobacter showae	Bergeyella zoohelcum	3.0	Supragingival_plaque	#ff964f
43	Bergeyella zoohelcum	Campylobacter showae	3.0	Supragingival_plaque	#ff964f
44	Candidatus Saccharibacteria oral taxon TM7x	Actinomyces sp. oral taxon 178	3.0	Intertype	#cccccc
45	Actinomyces sp. oral taxon 178	Candidatus Saccharibacteria oral taxon TM7x	3.0	Intertype	#cccccc
46	Capnocytophaga cynodegmi	Actinomyces dentalis	3.0	Intertype	#cccccc
47	Actinomyces dentalis	Capnocytophaga cynodegmi	3.0	Intertype	#cccccc
48	Capnocytophaga sp. CM59	Capnocytophaga granulosa	5.0	Supragingival_plaque	#ff964f
49	Capnocytophaga granulosa	Capnocytophaga sp. CM59	5.0	Supragingival_plaque	#ff964f
50	Capnocytophaga sp. oral taxon 323	Actinomyces johnsonii	5.0	Intertype	#cccccc
51	Actinomyces johnsonii	Capnocytophaga sp. oral taxon 323	5.0	Intertype	#cccccc
52	Capnocytophaga sp. oral taxon 323	Actinomyces massiliensis	5.0	Supragingival_plaque	#ff964f
53	Actinomyces massiliensis	Capnocytophaga sp. oral taxon 323	5.0	Supragingival_plaque	#ff964f
54	Capnocytophaga sp. oral taxon 323	Actinomyces sp. oral taxon 849	5.0	Supragingival_plaque	#ff964f
55	Actinomyces sp. oral taxon 849	Capnocytophaga sp. oral taxon 323	5.0	Supragingival_plaque	#ff964f
56	Capnocytophaga sp. oral taxon 323	Campylobacter gracilis	6.0	Intertype	#cccccc
57	Campylobacter gracilis	Capnocytophaga sp. oral taxon 323	6.0	Intertype	#cccccc
58	Capnocytophaga sp. oral taxon 324	Actinomyces massiliensis	5.0	Supragingival_plaque	#ff964f
